time,latitude,longitude,height
518.0079801,52.8318859,0.7059146,189.22
518.1214201,52.8318782,0.7059414,189.236
518.1970701,52.8318705,0.7059679,189.201
518.31056,52.8318627,0.7059948,189.183
518.4240301,52.8318548,0.7060219,189.194
518.49968,52.8318469,0.7060491,189.192
518.6131401,52.8318389,0.7060763,189.193
518.7266099,52.8318309,0.7061038,189.202
518.8022301,52.8318228,0.7061313,189.224
518.9157,52.8318147,0.706159,189.241
519.0292799,52.8318065,0.7061868,189.249
519.1049101,52.8317983,0.7062147,189.29
519.21837,52.8317899,0.7062429,189.327
519.33183,52.8317814,0.706271,189.356
519.40746,52.831773,0.7062986,189.399
519.52107,52.8317645,0.7063267,189.429
519.59657,52.8317561,0.7063556,189.438
519.7479401,52.8317475,0.706384,189.455
519.82356,52.8317391,0.7064124,189.438
519.8991899,52.8317304,0.7064411,189.429
520.01265,52.8317218,0.7064698,189.419
520.12624,52.8317131,0.7064983,189.42
520.20192,52.8317043,0.706527,189.406
520.31529,52.8316955,0.7065559,189.432
520.42891,52.8316866,0.706585,189.426
520.5044401,52.8316778,0.706614,189.419
520.6179399,52.8316688,0.706643,189.432
520.6935601,52.8316597,0.7066723,189.445
520.84496,52.8316505,0.7067016,189.444
520.92061,52.8316412,0.706731,189.456
520.9962301,52.831632,0.7067606,189.457
521.1097,52.8316226,0.7067903,189.439
521.2232502,52.8316133,0.7068202,189.437
521.2989101,52.8316037,0.7068501,189.412
521.41237,52.8315941,0.7068802,189.363
521.5258,52.8315846,0.7069103,189.343
521.60146,52.8315752,0.7069405,189.322
521.71507,52.8315657,0.706971,189.319
521.8283501,52.8315563,0.7070015,189.337
521.9040101,52.8315468,0.707032,189.352
522.01759,52.8315373,0.7070626,189.352
522.0931301,52.8315279,0.7070934,189.385
522.2444301,52.8315185,0.7071242,189.41
522.32008,52.831509,0.7071548,189.458
522.39571,52.8314996,0.7071857,189.452
522.5091701,52.8314902,0.7072166,189.481
522.6226702,52.8314806,0.7072475,189.517
522.6983202,52.8314712,0.7072787,189.555
522.81178,52.8314618,0.7073099,189.568
522.8874102,52.8314523,0.7073411,189.636
523.00124,52.8314428,0.7073723,189.701
523.11443,52.8314333,0.7074035,189.718
523.1900501,52.8314237,0.7074349,189.787
523.3413601,52.8314143,0.7074663,189.847
523.4170101,52.8314046,0.7074977,189.881
523.49263,52.8313949,0.7075292,189.903
523.6063402,52.8313854,0.7075608,189.94
523.7195899,52.8313757,0.7075924,189.929
523.7952402,52.831366,0.7076242,189.94
523.9088302,52.8313563,0.7076561,189.975
524.0221701,52.8313464,0.7076877,190.032
524.0978301,52.8313365,0.7077196,190.109
524.2112901,52.8313266,0.7077516,190.172
524.3247201,52.8313167,0.7077838,190.25
524.4382501,52.8313065,0.7078159,190.296
524.5139,52.8312963,0.7078479,190.378
524.58955,52.8312862,0.7078802,190.39
524.7030201,52.831276,0.7079127,190.432
524.81651,52.8312659,0.7079451,190.461
524.89217,52.8312555,0.7079777,190.496
525.00563,52.8312452,0.7080103,190.505
525.1191001,52.8312348,0.7080428,190.496
525.19484,52.8312244,0.7080756,190.501
525.3083,52.831214,0.7081085,190.501
525.4217701,52.8312035,0.7081413,190.505
525.5352302,52.831193,0.7081741,190.495
525.6487,52.8311824,0.7082069,190.503
525.7243202,52.8311719,0.7082398,190.484
525.8001301,52.8311614,0.7082727,190.484
525.91347,52.8311509,0.7083056,190.485
526.0269601,52.8311403,0.7083386,190.493
526.10256,52.8311297,0.7083716,190.504
526.2160201,52.8311192,0.7084047,190.516
526.2916701,52.8311085,0.7084378,190.521
526.4051402,52.8310979,0.7084711,190.534
526.5186,52.8310872,0.7085045,190.534
526.6321001,52.8310765,0.7085378,190.554
526.7079902,52.8310659,0.7085714,190.585
526.8212101,52.8310552,0.7086049,190.632
526.8968401,52.8310445,0.7086384,190.646
527.01036,52.8310337,0.7086722,190.672
527.1238301,52.8310229,0.708706,190.716
527.1994801,52.831012,0.7087398,190.735
527.3129702,52.8310012,0.7087737,190.754
527.42644,52.8309906,0.7088077,190.758
527.5020602,52.8309797,0.7088418,190.805
527.61553,52.8309691,0.7088759,190.819
527.7289901,52.8309584,0.7089103,190.862
527.8046401,52.8309478,0.7089445,190.877
527.9181101,52.8309372,0.7089789,190.9
527.9937301,52.8309266,0.7090133,190.975
528.1072202,52.8309161,0.7090476,190.992
528.22069,52.8309053,0.7090822,191.072
528.3341501,52.8308948,0.709117,191.137
528.44765,52.8308842,0.7091519,191.204
528.5233002,52.8308736,0.7091867,191.32
528.5989501,52.8308629,0.7092217,191.349
528.71242,52.8308522,0.7092567,191.4
528.8259101,52.8308416,0.709292,191.447
528.90154,52.8308308,0.7093272,191.504
529.0150001,52.8308201,0.7093624,191.531
529.1284602,52.8308093,0.7093979,191.595
529.24193,52.8307986,0.7094334,191.617
529.31758,52.8307876,0.7094686,191.67
529.3932002,52.8307766,0.7095042,191.673
529.5067,52.8307656,0.7095398,191.693
529.6201601,52.8307547,0.7095755,191.716
529.6958201,52.8307438,0.7096113,191.725
529.8092802,52.8307329,0.7096472,191.72
529.9229901,52.830722,0.7096831,191.715
529.9985201,52.8307111,0.709719,191.75
530.11199,52.8307002,0.7097548,191.735
530.22563,52.8306896,0.709791,191.73
530.3011601,52.8306789,0.7098272,191.721
530.4146302,52.8306681,0.7098637,191.696
530.5281501,52.8306576,0.7099001,191.743
530.60375,52.830647,0.7099362,191.785
530.7172999,52.8306366,0.7099727,191.832
530.8306701,52.8306261,0.7100089,191.912
530.94417,52.8306156,0.7100452,191.977
531.0199699,52.8306053,0.710082,192.082
531.0954401,52.830595,0.7101181,192.175
531.20891,52.8305846,0.7101547,192.298
531.3224001,52.8305743,0.7101913,192.427
531.39803,52.8305642,0.7102278,192.523
531.5114901,52.8305538,0.7102643,192.659
531.6249599,52.8305437,0.710301,192.871
531.7385101,52.8305333,0.7103374,193.057
531.8141601,52.8305232,0.7103738,193.179
531.9275401,52.8305129,0.7104101,193.406
532.0410001,52.8305028,0.710447,193.629
532.1168101,52.8304925,0.7104838,193.868
532.2301199,52.8304823,0.7105202,194.103
532.3057401,52.830472,0.7105569,194.321
532.41924,52.8304618,0.7105936,194.546
532.49489,52.8304518,0.7106304,194.758
532.6461601,52.8304413,0.7106671,195.01
532.7218502,52.8304311,0.7107037,195.247
532.83534,52.8304206,0.7107407,195.45
532.911,52.8304101,0.7107773,195.66
533.02443,52.8303996,0.7108138,195.899
533.13796,52.8303889,0.7108507,196.096
533.2135501,52.8303782,0.7108871,196.355
533.3270102,52.8303674,0.7109237,196.519
533.4026701,52.8303566,0.7109605,196.661
533.51613,52.8303455,0.7109971,196.837
533.5917501,52.8303344,0.7110341,196.961
533.70522,52.8303231,0.711071,197.03
533.81868,52.8303118,0.7111076,197.125
533.89433,52.8303005,0.7111446,197.173
534.0078001,52.8302891,0.7111816,197.196
534.1212602,52.8302777,0.7112185,197.231
534.23473,52.8302663,0.7112555,197.236
534.3103499,52.8302548,0.7112924,197.254
534.42381,52.8302434,0.7113294,197.259
534.49947,52.8302319,0.7113664,197.244
534.61308,52.8302204,0.7114033,197.268
534.7264001,52.8302087,0.7114403,197.29
534.8020501,52.8301972,0.7114774,197.304
534.9155099,52.8301856,0.7115144,197.344
535.0290101,52.830174,0.7115514,197.371
535.1047502,52.8301626,0.7115884,197.406
535.2180901,52.8301512,0.7116255,197.456
535.3317101,52.8301397,0.7116626,197.477
535.40733,52.8301281,0.7116996,197.497
535.5208001,52.8301167,0.7117367,197.537
535.5965102,52.8301052,0.7117737,197.582
535.70995,52.8300938,0.7118105,197.662
535.82341,52.8300822,0.7118477,197.731
535.8991899,52.8300706,0.7118847,197.821
536.0125301,52.8300591,0.7119215,197.851
536.1259902,52.8300476,0.7119584,197.9
536.2016501,52.8300362,0.7119951,197.952
536.31511,52.8300247,0.7120322,198.063
536.3907301,52.8300134,0.7120691,198.168
536.5042901,52.8300022,0.7121059,198.331
536.61766,52.829991,0.712143,198.461
536.76915,52.8299798,0.7121799,198.654
536.8069901,52.8299689,0.7122169,198.818
536.9203,52.8299582,0.712254,199.015
536.99593,52.8299471,0.7122911,199.201
537.1094501,52.8299365,0.7123283,199.36
537.2228901,52.8299258,0.7123656,199.641
537.2985401,52.8299155,0.7124026,199.904
537.44994,52.8299055,0.7124396,200.152
537.5255001,52.8298954,0.7124767,200.407
537.6011801,52.8298851,0.7125143,200.64
537.7146201,52.8298751,0.7125518,200.86
537.82811,52.8298651,0.7125897,201.037
537.9037302,52.8298554,0.7126275,201.203
538.0172,52.829846,0.7126657,201.376
538.09285,52.8298364,0.712704,201.477
538.2064102,52.8298272,0.712742,201.595
538.31987,52.8298179,0.7127804,201.728
538.39552,52.8298088,0.7128186,201.841
538.5090201,52.8298,0.7128569,202.006
538.6224802,52.8297912,0.7128951,202.118
538.6981101,52.8297827,0.7129337,202.276
538.8115702,52.8297742,0.7129721,202.43
538.92503,52.8297657,0.7130104,202.612
539.00069,52.8297573,0.7130488,202.755
539.11415,52.829749,0.7130874,202.893
539.2279801,52.8297406,0.7131258,203.045
539.3032701,52.8297323,0.7131644,203.195
539.4167302,52.8297243,0.7132027,203.316
539.4923902,52.8297159,0.713241,203.451
539.6059101,52.8297078,0.7132795,203.588
539.7193801,52.8296995,0.7133178,203.746
539.79515,52.8296916,0.7133565,203.959
539.9084899,52.8296832,0.7133951,204.196
540.0219901,52.8296751,0.7134336,204.427
540.09776,52.8296665,0.7134725,204.712
540.2110801,52.829658,0.7135112,204.998
540.3246,52.8296495,0.7135499,205.297
540.40025,52.8296408,0.7135886,205.601
540.51372,52.829632,0.7136272,205.851
540.6271801,52.8296229,0.7136659,206.172
540.7028401,52.8296136,0.7137047,206.394
540.8163002,52.8296046,0.7137432,206.61
540.8919201,52.829595,0.713782,206.753
